id,type,x,y,z,slope,outgoing,drain,drainCoupledID,drainType,drainLength,drainWidth,n_Manning,yFull,area,width
78,STREET,823625.443724142,92530.201116335,32.3088,0.0123700666147705,79,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
79,STREET,823652.593069843,92571.3284340809,31.6992,0.0028411162413052,262,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
80,STREET,823668.601737827,92595.5791855781,31.6992,0.0099360277197502,81,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
81,STREET,823738.062398907,92696.7311832756,30.48,0.0158203919721908,223,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
82,STREET,824743.488488048,92562.9651508072,34.7472,0.0101741533964646,212,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
83,STREET,824779.460357365,92665.6277202229,34.7472,0.0320800252977762,11,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
84,STREET,824319.665635696,92577.3083221184,34.4424,0.0036865516361,2,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
85,STREET,824423.916627192,92620.8521350331,31.6992,0.0193208996955499,5,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
86,STREET,824675.10832481,92698.6466794418,31.0896,0.0059484662255138,21,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
87,STREET,824031.156912716,93284.2622082117,27.432,0.0086956857353424,106,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
88,STREET,824031.153912721,93284.2626082101,27.432,0.0086954657854806,106,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
89,STREET,823951.10027283,93342.6156915021,28.3464,0.0092304005117483,88,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
90,STREET,823951.099172829,93342.6192914958,28.3464,0.0092301201071501,88,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
91,STREET,824753.109268807,92758.6681594024,31.6992,0.0052519183670264,92,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
92,STREET,824706.120462787,92792.730191277,31.3944,0.0030768327285505,86,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
93,STREET,824377.570519888,92748.3265800849,29.5656,0.0054531160820828,15,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
94,STREET,824205.444064139,92808.1782603808,27.7368,0.0133247431637754,175,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
95,STREET,824233.503008021,92836.4523038326,27.7368,0.0040999449638243,201,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
96,STREET,824301.117572791,92899.1197784983,27.432,0.0053218727414777,99,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
