id,type,x,y,z,slope,outgoing,drain,drainCoupledID,drainType,drainLength,drainWidth,n_Manning,yFull,area,width
112,STREET,824663.074,93195.163,28.6512,0.009277,116,1,437,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
113,STREET,824647.954,93204.863,28.6512,0.010741,116,1,437,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
114,STREET,824630.268,93215.132,28.6512,0.013099,116,1,437,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
115,STREET,824616.290,93224.261,28.6512,0.015940,116,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
116,STREET,824547.589,93257.880,27.4320,0.045050,350,1,438,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
117,STREET,824725.548,93133.831,30.1752,0.008082,119,1,439,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
118,STREET,824716.419,93149.520,30.1752,0.015406,119,1,439,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
119,STREET,824703.011,93164.069,29.8704,0.033171,121,1,439,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
120,STREET,824687.892,93176.051,29.8704,0.069811,121,1,439,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
121,STREET,824674.199,93186.891,28.6512,0.008399,116,1,439,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
122,STREET,824733.821,92874.521,31.3944,0.019867,274,1,391,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
123,STREET,824771.631,92848.043,32.3088,0.019810,122,1,391,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
124,STREET,824684.356,93018.419,29.8704,0.004983,264,1,551,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
125,STREET,824712.313,93050.025,30.4800,0.014447,124,1,551,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
126,STREET,824762.515,93060.450,31.0896,0.028126,128,1,498,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
127,STREET,824758.354,93074.495,31.0896,0.051066,128,1,551,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
128,STREET,824751.507,93091.040,30.1752,0.003477,119,1,551,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
129,STREET,824762.918,92958.390,31.6992,0.046129,276,1,390,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
130,STREET,824767.016,92955.572,31.6992,0.038866,276,1,390,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
131,STREET,823951.098,93342.623,28.3464,0.009230,88,1,612,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
132,STREET,823887.418,93389.085,28.3464,0.005140,88,1,571,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
133,STREET,823766.167,93477.940,30.4800,0.006436,252,1,507,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
134,STREET,824031.157,93284.265,27.4320,0.008696,106,1,440,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
135,STREET,823951.103,93342.618,28.3464,0.009230,88,1,612,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
136,STREET,824116.135,93222.319,26.5176,0.002247,139,1,509,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
137,STREET,824116.135,93222.322,26.5176,0.002247,139,1,509,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
138,STREET,824031.160,93284.263,27.4320,0.008696,106,1,440,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
139,STREET,824225.767,93142.406,26.2128,0.000000,101,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
140,STREET,824116.138,93222.319,26.5176,0.002247,139,1,509,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
141,STREET,824245.649,93127.911,26.2128,0.000000,101,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
142,STREET,824380.401,93029.688,27.7368,0.018234,99,1,574,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
143,STREET,824583.103,92881.930,29.8704,0.004426,22,1,576,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
144,STREET,824706.116,92792.739,31.3944,0.003077,86,1,392,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
145,STREET,824706.122,92792.734,31.3944,0.003077,86,1,392,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
146,STREET,824753.113,92758.671,31.6992,0.005252,92,1,453,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
147,STREET,824753.118,92758.668,31.6992,0.005251,92,1,453,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
148,STREET,824764.634,92750.319,31.6992,0.004218,92,1,453,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
149,STREET,824776.201,92741.573,32.3088,0.042038,12,1,453,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
150,STREET,823587.735,93183.754,29.8704,0.004195,214,1,570,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
151,STREET,824454.171,92975.911,28.3464,0.008803,353,1,451,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
152,STREET,824452.443,92977.169,28.3464,0.009084,353,1,451,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
153,STREET,824380.403,93029.684,27.7368,0.018233,99,1,574,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
154,STREET,824496.925,92944.744,29.8704,0.029153,155,1,436,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
155,STREET,824454.682,92975.539,28.3464,0.008724,353,1,451,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
156,STREET,823244.724,92493.686,31.0896,0.000698,226,1,605,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
157,STREET,823252.964,92505.261,31.0896,0.000721,226,1,605,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
158,STREET,823255.330,92507.890,31.0896,0.000727,226,1,605,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
